latitude,longitude,bright_ti4,acq_date,,,
-13.23665,142.00052,353.2,1,,,
-13.23575,142.00534,341.2,1,,,
-13.23486,142.01012,347.3,1,,,
-13.24033,142.00609,352.9,1,,,
-13.23943,142.01091,331.6,1,,,
-13.23855,142.01566,337.9,1,,,
-12.01509,141.86938,340.2,1,,,
-13.24492,142.00681,356.4,1,,,
-13.28972,142.0199,343.2,1,,,
-13.29514,142.01607,344.9,1,,,
-13.29426,142.02087,357.2,1,,,
-13.29339,142.02562,338.2,1,,,
-13.29882,142.02173,352.2,1,,,
-13.29795,142.0265,330.1,1,,,
-13.30532,142.03787,341.3,1,,,
-13.38987,142.29736,335.5,1,,,
-13.39452,142.29823,355.6,1,,,
-13.23743,141.99709,339.7,1,,,
-12.66763,142.96381,330.2,1,,,
-13.58502,142.63126,345,1,,,
-13.63739,143.52084,330.3,1,,,
-13.39219,142.63664,337.6,1,,,
-13.52621,142.65462,334.6,1,,,
-13.52147,142.65373,343.1,1,,,
-13.51768,142.64771,338.4,1,,,
-13.67665,141.55179,334.1,1,,,
-13.97263,142.37048,345,1,,,
-13.9671,142.37451,340.5,1,,,
-13.96342,142.36867,355.7,1,,,
-13.51864,142.64253,333.2,1,,,
-13.51294,142.64682,346.4,1,,,
-13.51486,142.63646,340.5,1,,,
-13.51011,142.6356,343.2,1,,,
-13.05648,141.69609,341.5,1,,,
-12.58452,142.46208,335.5,1,,,
-12.54738,142.44984,329.4,1,,,
-11.80398,142.05576,327.6,1,,,
-12.54262,142.44897,331.3,1,,,
-12.73934,142.2039,339,1,,,
-12.00033,141.87177,341.5,1,,,
-12.74578,142.19495,346.1,1,,,
-12.76888,142.17368,332.7,1,,,
-11.91943,142.14847,329,1,,,
-11.91847,142.01796,329.7,1,,,
-11.87614,142.17221,348.3,1,,,
-15.4415,130.52716,348,1,,,
-14.65001,130.62125,348.6,1,,,
-14.64932,130.6265,354.2,1,,,
-14.65463,130.61664,334.2,1,,,
-14.65394,130.62189,352.3,1,,,
-14.65324,130.62714,343.6,1,,,
-14.65254,130.6324,340.5,1,,,
-14.65185,130.63763,331.9,1,,,
-14.65991,130.60712,345.4,1,,,
-14.65857,130.61722,337.4,1,,,
-15.11474,130.5045,344.3,1,,,
-14.96204,131.83234,335.9,1,,,
-15.00473,131.78192,354.6,1,,,
-15.12638,131.13304,338,1,,,
-15.12254,131.13252,347.8,1,,,
-15.11934,131.12717,349.6,1,,,
-15.11998,131.12233,338.1,1,,,
-15.11615,131.12167,341.8,1,,,
-15.11296,131.1162,347.8,1,,,
-13.05533,136.44775,331.6,1,,,
-13.05135,136.4509,353.2,1,,,
-14.94852,131.82133,348.8,1,,,
-12.3627,136.47868,345.2,1,,,
-15.00354,131.7908,344.2,1,,,
-15.00414,131.78633,367,1,,,
-15.01024,131.76906,353.6,1,,,
-15.00963,131.77354,355.1,1,,,
-15.00904,131.77797,349.3,1,,,
-15.0971,130.57675,355.8,1,,,
-15.10912,131.11566,343.8,1,,,
-15.01517,131.76048,342.4,1,,,
-15.01456,131.76505,354.4,1,,,
-14.24063,130.70956,345.4,1,,,
-14.23996,130.71451,336.7,1,,,
-14.24385,130.71509,340.6,1,,,
-14.24318,130.72002,334.1,1,,,
-14.24774,130.71564,336.8,1,,,
-14.25163,130.71622,348.7,1,,,
-14.25552,130.71678,335.1,1,,,
-14.26264,130.72272,333.7,1,,,
-14.26721,130.71835,336.2,1,,,
-14.2711,130.71887,339.7,1,,,
-14.27499,130.71944,337.4,1,,,
-14.25918,130.71922,339.6,1,,,
-14.26307,130.71976,335.1,1,,,
-14.26697,130.72031,334.4,1,,,
-14.27086,130.72083,336.3,1,,,
-14.27475,130.72139,334.3,1,,,
-14.2793,130.717,334.4,1,,,
-14.28319,130.71756,340.8,1,,,
-14.65788,130.62239,340.6,1,,,
-14.66385,130.60767,334.6,1,,,
-14.66317,130.61278,345.3,1,,,
-14.66182,130.62289,338.1,1,,,
-14.65973,130.63864,342.2,1,,,
-15.26059,131.13959,340.6,1,,,
-14.28708,130.71814,338.4,1,,,
-14.29098,130.71863,339.5,1,,,
-12.95081,136.51398,334.6,1,,,
-14.19916,130.66341,333.3,1,,,
-14.20306,130.66397,367,1,,,
-14.20629,130.66953,355.8,1,,,
-15.17796,131.20224,336.8,1,,,
-14.63835,130.58784,349.1,1,,,
-14.6495,130.59476,335.5,1,,,
-12.95022,136.51772,339.5,1,,,
-14.66665,130.58661,339.9,1,,,
-12.95363,136.51826,347.1,1,,,
-14.94791,131.82578,338,1,,,
-15.01826,131.76556,349.8,1,,,
-15.02197,131.76605,352.7,1,,,
-15.02135,131.77063,334.9,1,,,
-15.02506,131.77109,354.1,1,,,
-14.95221,131.8219,341.5,1,,,
-14.67408,130.65115,346.9,1,,,
-15.02445,131.7756,335.1,1,,,
-14.73634,130.68718,343.5,1,,,
-15.02816,131.77608,336.5,1,,,
-15.25597,131.17372,335.5,1,,,
-13.04939,141.81384,333.8,1,,,
-14.6423,130.58841,347.2,1,,,
-14.74026,130.68773,341.4,1,,,
-14.74419,130.68828,350,1,,,
-14.74811,130.68884,340.4,1,,,
-15.11563,130.46686,335.6,1,,,
-15.3596,130.75142,344.2,1,,,
-15.35566,130.75085,344.5,1,,,
-15.11493,130.47217,343.1,1,,,
-15.11353,130.4828,353.4,1,,,
-15.35172,130.75029,339.7,1,,,
-14.64161,130.59361,348.7,1,,,
-15.13517,130.4424,334,1,,,
-14.65904,130.64384,334.4,1,,,
-14.66251,130.61777,367,1,,,
-15.16207,130.36304,349.5,1,,,
-15.15756,130.36612,339.1,1,,,
-14.66644,130.61833,347.7,1,,,
-14.66298,130.64433,344,1,,,
-14.66692,130.64482,341.1,1,,,
-15.34778,130.74971,345.4,1,,,
-15.34552,130.74661,347.8,1,,,
-15.4129,130.74324,341.9,1,,,
-15.40828,130.74782,343.9,1,,,
-15.40433,130.74725,337.1,1,,,
-15.3997,130.75188,343.8,1,,,
-15.39508,130.75648,336.7,1,,,
-15.39113,130.75594,342.3,1,,,
-15.37469,130.75883,341.7,1,,,
-15.37075,130.75827,337.2,1,,,
